File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.61
UUID: AQL0712005M
Sampling Rate: 32
Start Time: 2013-02-06 09:12:39 Offset:-06
Z-axis,Y-axis,X-axis,Battery,nssCelsius,EDA(uS),Time
---------------------------------------------------------
1.020,0.000,0.000,-1,36.400,8.483,09:35:34.000
1.082,0.000,0.000,-1,36.600,8.600,09:35:34.031
1.044,0.000,0.000,-1,36.600,8.622,09:35:34.062
1.042,0.000,0.000,-1,36.600,8.741,09:35:34.093
1.038,0.000,0.000,-1,36.600,8.527,09:35:34.125
1.051,0.000,0.000,-1,36.400,8.600,09:35:34.156
1.024,0.000,0.000,-1,36.400,8.494,09:35:34.187
1.072,0.000,0.000,-1,36.600,8.611,09:35:34.218
1.022,0.000,0.000,-1,36.400,8.483,09:35:34.250
1.073,0.000,0.000,-1,36.600,8.633,09:35:34.281
1.075,0.000,0.000,-1,36.600,8.494,09:35:34.312
1.000,0.000,0.000,-1,36.600,8.633,09:35:34.343
1.032,0.000,0.000,-1,36.400,8.505,09:35:34.375
1.029,0.000,0.000,-1,36.600,8.633,09:35:34.406
1.023,0.000,0.000,-1,36.400,8.633,09:35:34.437
1.023,0.000,0.000,-1,36.400,8.505,09:35:34.468
1.040,0.000,0.000,-1,36.400,8.600,09:35:34.500
1.038,0.000,0.000,-1,36.600,8.611,09:35:34.531
1.016,0.000,0.000,-1,36.400,8.483,09:35:34.562
1.007,0.000,0.000,-1,36.400,8.380,09:35:34.593
1.036,0.000,0.000,-1,36.400,8.505,09:35:34.625
1.062,0.000,0.000,-1,36.600,8.505,09:35:34.656
1.017,0.000,0.000,-1,36.400,8.622,09:35:34.687
1.034,0.000,0.000,-1,36.600,8.633,09:35:34.718
1.018,0.000,0.000,-1,36.600,8.505,09:35:34.750
1.024,0.000,0.000,-1,36.600,8.505,09:35:34.781
1.105,0.000,0.000,-1,36.400,8.538,09:35:34.812
1.053,0.000,0.000,-1,36.400,8.600,09:35:34.843
1.034,0.000,0.000,-1,36.600,8.538,09:35:34.875
1.030,0.000,0.000,-1,36.600,8.483,09:35:34.906
1.039,0.000,0.000,-1,36.400,8.527,09:35:34.937
1.039,0.000,0.000,-1,36.400,8.505,09:35:34.968
1.030,0.000,0.000,-1,36.600,8.494,09:35:35.000
1.042,0.000,0.000,-1,36.400,8.516,09:35:35.031
1.049,0.000,0.000,-1,36.400,8.483,09:35:35.062
1.047,0.000,0.000,-1,36.400,8.494,09:35:35.093
1.049,0.000,0.000,-1,36.400,8.611,09:35:35.125
1.039,0.000,0.000,-1,36.600,8.538,09:35:35.156
1.039,0.000,0.000,-1,36.400,8.494,09:35:35.187
1.074,0.000,0.000,-1,36.600,8.538,09:35:35.218
1.042,0.000,0.000,-1,36.400,8.600,09:35:35.250
1.036,0.000,0.000,-1,36.400,8.483,09:35:35.281
0.906,0.000,0.000,-1,36.400,8.494,09:35:35.312
0.867,0.000,0.000,-1,36.600,8.611,09:35:35.343
0.961,0.000,0.000,-1,36.600,8.505,09:35:35.375
0.989,0.000,0.000,-1,36.400,8.600,09:35:35.406
1.145,0.000,0.000,-1,36.600,8.369,09:35:35.437
1.034,0.000,0.000,-1,36.600,8.633,09:35:35.468
1.022,0.000,0.000,-1,36.400,8.483,09:35:35.500
1.097,0.000,0.000,-1,36.600,8.633,09:35:35.531
0.905,0.000,0.000,-1,36.400,8.494,09:35:35.562
1.027,0.000,0.000,-1,36.400,8.633,09:35:35.593
1.162,0.000,0.000,-1,36.400,8.494,09:35:35.625
1.060,0.000,0.000,-1,36.400,8.633,09:35:35.656
1.043,0.000,0.000,-1,36.600,8.483,09:35:35.687
1.085,0.000,0.000,-1,36.400,8.538,09:35:35.718
1.201,0.000,0.000,-1,36.400,8.527,09:35:35.750
1.333,0.000,0.000,-1,36.400,8.600,09:35:35.781
1.197,0.000,0.000,-1,36.400,8.483,09:35:35.812
1.337,0.000,0.000,-1,36.600,8.633,09:35:35.843
1.247,0.000,0.000,-1,36.400,8.402,09:35:35.875
1.106,0.000,0.000,-1,36.400,8.483,09:35:35.906
1.042,0.000,0.000,-1,36.600,8.505,09:35:35.937
1.044,0.000,0.000,-1,36.400,8.494,09:35:35.968
1.157,0.000,0.000,-1,36.400,8.516,09:35:36.000
1.265,0.000,0.000,-1,36.400,8.494,09:35:36.031
1.276,0.000,0.000,-1,36.600,8.622,09:35:36.062
1.153,0.000,0.000,-1,36.600,8.505,09:35:36.093
1.034,0.000,0.000,-1,36.400,8.527,09:35:36.125
0.916,0.000,0.000,-1,36.400,8.423,09:35:36.156
0.881,0.000,0.000,-1,36.600,8.279,09:35:36.187
0.829,0.000,0.000,-1,36.400,8.516,09:35:36.218
0.790,0.000,0.000,-1,36.600,8.494,09:35:36.250
0.800,0.000,0.000,-1,36.400,8.494,09:35:36.281
0.821,0.000,0.000,-1,36.600,8.494,09:35:36.312
0.899,0.000,0.000,-1,36.600,8.633,09:35:36.343
2.400,0.000,0.000,-1,36.400,8.494,09:35:36.375
1.602,0.000,0.000,-1,36.400,8.622,09:35:36.406
1.075,0.000,0.000,-1,36.400,8.516,09:35:36.437
1.594,0.000,0.000,-1,36.600,8.391,09:35:36.468
1.470,0.000,0.000,-1,36.400,8.633,09:35:36.500
1.515,0.000,0.000,-1,36.600,8.600,09:35:36.531
1.207,0.000,0.000,-1,36.600,8.516,09:35:36.562
1.116,0.000,0.000,-1,36.600,8.494,09:35:36.593
1.090,0.000,0.000,-1,36.600,8.611,09:35:36.625
1.102,0.000,0.000,-1,36.600,8.633,09:35:36.656
1.034,0.000,0.000,-1,36.600,8.505,09:35:36.687
1.002,0.000,0.000,-1,36.600,8.622,09:35:36.718
1.012,0.000,0.000,-1,36.600,8.483,09:35:36.750
1.056,0.000,0.000,-1,36.600,8.600,09:35:36.781
1.087,0.000,0.000,-1,36.400,8.483,09:35:36.812
1.060,0.000,0.000,-1,36.400,8.622,09:35:36.843
1.010,0.000,0.000,-1,36.400,8.472,09:35:36.875
1.005,0.000,0.000,-1,36.600,8.483,09:35:36.906
1.053,0.000,0.000,-1,36.600,8.391,09:35:36.937
1.091,0.000,0.000,-1,36.400,8.494,09:35:36.968
1.101,0.000,0.000,-1,36.600,8.391,09:35:37.000
1.101,0.000,0.000,-1,36.600,8.402,09:35:37.031
1.091,0.000,0.000,-1,36.400,8.516,09:35:37.062
1.091,0.000,0.000,-1,36.400,8.600,09:35:37.093
1.093,0.000,0.000,-1,36.600,8.413,09:35:37.125
1.084,0.000,0.000,-1,36.600,8.483,09:35:37.156
1.064,0.000,0.000,-1,36.400,8.483,09:35:37.187
1.044,0.000,0.000,-1,36.600,8.483,09:35:37.218
1.025,0.000,0.000,-1,36.600,8.380,09:35:37.250
1.014,0.000,0.000,-1,36.600,8.527,09:35:37.281
1.035,0.000,0.000,-1,36.600,8.402,09:35:37.312
1.063,0.000,0.000,-1,36.600,8.516,09:35:37.343
1.043,0.000,0.000,-1,36.400,8.391,09:35:37.375
1.025,0.000,0.000,-1,36.400,8.494,09:35:37.406
1.024,0.000,0.000,-1,36.600,8.633,09:35:37.437
1.005,0.000,0.000,-1,36.600,8.483,09:35:37.468
0.995,0.000,0.000,-1,36.400,8.494,09:35:37.500
0.988,0.000,0.000,-1,36.400,8.380,09:35:37.531
0.975,0.000,0.000,-1,36.400,8.527,09:35:37.562
0.970,0.000,0.000,-1,36.400,8.483,09:35:37.593
0.966,0.000,0.000,-1,36.600,8.494,09:35:37.625
0.948,0.000,0.000,-1,36.600,8.423,09:35:37.656
1.023,0.000,0.000,-1,36.400,8.494,09:35:37.687
1.089,0.000,0.000,-1,36.600,8.516,09:35:37.718
1.156,0.000,0.000,-1,36.400,8.494,09:35:37.750
1.150,0.000,0.000,-1,36.400,8.505,09:35:37.781
1.145,0.000,0.000,-1,36.600,8.505,09:35:37.812
1.172,0.000,0.000,-1,36.400,8.483,09:35:37.843
1.145,0.000,0.000,-1,36.400,8.505,09:35:37.875
1.124,0.000,0.000,-1,36.600,8.505,09:35:37.906
1.118,0.000,0.000,-1,36.400,8.423,09:35:37.937
1.140,0.000,0.000,-1,36.400,8.494,09:35:37.968
1.184,0.000,0.000,-1,36.600,8.611,09:35:38.000
1.193,0.000,0.000,-1,36.400,8.483,09:35:38.031
1.183,0.000,0.000,-1,36.600,8.380,09:35:38.062
1.184,0.000,0.000,-1,36.400,8.494,09:35:38.093
1.133,0.000,0.000,-1,36.400,8.494,09:35:38.125
1.092,0.000,0.000,-1,36.600,8.494,09:35:38.156
1.000,0.000,0.000,-1,36.400,8.516,09:35:38.187
0.930,0.000,0.000,-1,36.600,8.494,09:35:38.218
0.961,0.000,0.000,-1,36.600,8.505,09:35:38.250
0.788,0.000,0.000,-1,36.400,8.391,09:35:38.281
0.855,0.000,0.000,-1,36.400,8.483,09:35:38.312
0.957,0.000,0.000,-1,36.400,8.527,09:35:38.343
1.059,0.000,0.000,-1,36.600,8.380,09:35:38.375
0.721,0.000,0.000,-1,36.600,8.494,09:35:38.406
0.994,0.000,0.000,-1,36.400,8.494,09:35:38.437
1.201,0.000,0.000,-1,36.400,8.505,09:35:38.468
1.222,0.000,0.000,-1,36.600,8.505,09:35:38.500
1.353,0.000,0.000,-1,36.600,8.600,09:35:38.531
1.567,0.000,0.000,-1,36.400,8.611,09:35:38.562
1.294,0.000,0.000,-1,36.400,8.633,09:35:38.593
1.122,0.000,0.000,-1,36.400,8.538,09:35:38.625
1.056,0.000,0.000,-1,36.600,8.516,09:35:38.656
1.015,0.000,0.000,-1,36.400,8.516,09:35:38.687
0.970,0.000,0.000,-1,36.400,8.527,09:35:38.718
0.981,0.000,0.000,-1,36.400,8.611,09:35:38.750
1.045,0.000,0.000,-1,36.600,8.741,09:35:38.781
1.149,0.000,0.000,-1,36.600,8.588,09:35:38.812
1.232,0.000,0.000,-1,36.600,8.611,09:35:38.843
1.185,0.000,0.000,-1,36.400,8.622,09:35:38.875
1.043,0.000,0.000,-1,36.400,8.644,09:35:38.906
1.033,0.000,0.000,-1,36.600,8.600,09:35:38.937
1.000,0.000,0.000,-1,36.600,8.633,09:35:38.968
0.924,0.000,0.000,-1,36.600,8.633,09:35:39.000
0.970,0.000,0.000,-1,36.600,8.611,09:35:39.031
1.041,0.000,0.000,-1,36.600,8.741,09:35:39.062
1.175,0.000,0.000,-1,36.400,8.622,09:35:39.093
1.186,0.000,0.000,-1,36.400,8.655,09:35:39.125
1.243,0.000,0.000,-1,36.400,8.600,09:35:39.156
1.238,0.000,0.000,-1,36.600,8.600,09:35:39.187
1.160,0.000,0.000,-1,36.600,8.600,09:35:39.218
1.081,0.000,0.000,-1,36.600,8.600,09:35:39.250
1.098,0.000,0.000,-1,36.600,8.622,09:35:39.281
1.115,0.000,0.000,-1,36.600,8.505,09:35:39.312
1.118,0.000,0.000,-1,36.600,8.494,09:35:39.343
1.090,0.000,0.000,-1,36.600,8.752,09:35:39.375
1.185,0.000,0.000,-1,36.400,8.600,09:35:39.406
1.190,0.000,0.000,-1,36.600,8.752,09:35:39.437
1.054,0.000,0.000,-1,36.600,8.600,09:35:39.468
1.210,0.000,0.000,-1,36.600,8.622,09:35:39.500
1.158,0.000,0.000,-1,36.400,8.600,09:35:39.531
1.018,0.000,0.000,-1,36.400,8.719,09:35:39.562
0.880,0.000,0.000,-1,36.400,8.505,09:35:39.593
0.875,0.000,0.000,-1,36.600,8.600,09:35:39.625
0.932,0.000,0.000,-1,36.400,8.741,09:35:39.656
1.106,0.000,0.000,-1,36.600,8.600,09:35:39.687
1.104,0.000,0.000,-1,36.400,8.494,09:35:39.718
1.115,0.000,0.000,-1,36.600,8.505,09:35:39.750
1.211,0.000,0.000,-1,36.400,8.600,09:35:39.781
1.194,0.000,0.000,-1,36.400,8.644,09:35:39.812
1.141,0.000,0.000,-1,36.600,8.852,09:35:39.843
1.078,0.000,0.000,-1,36.600,8.611,09:35:39.875
1.099,0.000,0.000,-1,36.400,8.600,09:35:39.906
1.087,0.000,0.000,-1,36.600,8.611,09:35:39.937
1.102,0.000,0.000,-1,36.400,8.707,09:35:39.968
1.149,0.000,0.000,-1,36.400,8.611,09:35:40.000
1.143,0.000,0.000,-1,36.400,8.600,09:35:40.031
1.068,0.000,0.000,-1,36.400,8.741,09:35:40.062
1.016,0.000,0.000,-1,36.600,8.494,09:35:40.093
0.991,0.000,0.000,-1,36.400,8.741,09:35:40.125
1.030,0.000,0.000,-1,36.600,8.611,09:35:40.156
1.115,0.000,0.000,-1,36.600,8.588,09:35:40.187
1.235,0.000,0.000,-1,36.600,8.611,09:35:40.218
1.260,0.000,0.000,-1,36.400,8.719,09:35:40.250
1.190,0.000,0.000,-1,36.600,8.622,09:35:40.281
1.124,0.000,0.000,-1,36.600,8.494,09:35:40.312
1.074,0.000,0.000,-1,36.600,8.505,09:35:40.343
1.007,0.000,0.000,-1,36.600,8.719,09:35:40.375
0.987,0.000,0.000,-1,36.600,8.505,09:35:40.406
1.014,0.000,0.000,-1,36.400,8.719,09:35:40.437
1.083,0.000,0.000,-1,36.600,8.633,09:35:40.468
1.124,0.000,0.000,-1,36.400,8.752,09:35:40.500
1.082,0.000,0.000,-1,36.600,8.600,09:35:40.531
1.020,0.000,0.000,-1,36.400,8.741,09:35:40.562
1.014,0.000,0.000,-1,36.400,8.588,09:35:40.593
1.056,0.000,0.000,-1,36.400,8.752,09:35:40.625
1.101,0.000,0.000,-1,36.600,8.622,09:35:40.656
1.134,0.000,0.000,-1,36.600,8.622,09:35:40.687
1.136,0.000,0.000,-1,36.600,8.752,09:35:40.718
1.119,0.000,0.000,-1,36.400,8.622,09:35:40.750
1.116,0.000,0.000,-1,36.400,8.600,09:35:40.781
1.097,0.000,0.000,-1,36.600,8.655,09:35:40.812
1.085,0.000,0.000,-1,36.400,8.622,09:35:40.843
1.072,0.000,0.000,-1,36.600,8.611,09:35:40.875
1.061,0.000,0.000,-1,36.600,8.600,09:35:40.906
1.075,0.000,0.000,-1,36.600,8.622,09:35:40.937
1.078,0.000,0.000,-1,36.600,8.752,09:35:40.968
1.083,0.000,0.000,-1,36.400,8.505,09:35:41.000
1.094,0.000,0.000,-1,36.600,8.622,09:35:41.031
1.103,0.000,0.000,-1,36.400,8.600,09:35:41.062
1.100,0.000,0.000,-1,36.400,8.741,09:35:41.093
1.108,0.000,0.000,-1,36.400,8.494,09:35:41.125
1.108,0.000,0.000,-1,36.400,8.622,09:35:41.156
1.161,0.000,0.000,-1,36.400,8.752,09:35:41.187
1.204,0.000,0.000,-1,36.600,8.600,09:35:41.218
1.172,0.000,0.000,-1,36.400,8.707,09:35:41.250
1.137,0.000,0.000,-1,36.400,8.622,09:35:41.281
1.099,0.000,0.000,-1,36.400,8.600,09:35:41.312
1.077,0.000,0.000,-1,36.600,8.741,09:35:41.343
1.057,0.000,0.000,-1,36.600,8.622,09:35:41.375
0.999,0.000,0.000,-1,36.400,8.752,09:35:41.406
0.966,0.000,0.000,-1,36.600,8.622,09:35:41.437
0.982,0.000,0.000,-1,36.400,8.741,09:35:41.468
0.995,0.000,0.000,-1,36.400,8.516,09:35:41.500
1.024,0.000,0.000,-1,36.400,8.741,09:35:41.531
1.066,0.000,0.000,-1,36.600,8.622,09:35:41.562
1.125,0.000,0.000,-1,36.600,8.752,09:35:41.593
1.150,0.000,0.000,-1,36.600,8.600,09:35:41.625
1.158,0.000,0.000,-1,36.400,8.719,09:35:41.656
1.150,0.000,0.000,-1,36.600,8.600,09:35:41.687
1.133,0.000,0.000,-1,36.400,8.655,09:35:41.718
1.115,0.000,0.000,-1,36.600,8.622,09:35:41.750
1.085,0.000,0.000,-1,36.400,8.741,09:35:41.781
1.070,0.000,0.000,-1,36.600,8.611,09:35:41.812
1.059,0.000,0.000,-1,36.600,8.588,09:35:41.843
1.056,0.000,0.000,-1,36.400,8.752,09:35:41.875
1.053,0.000,0.000,-1,36.600,8.600,09:35:41.906
1.064,0.000,0.000,-1,36.600,8.622,09:35:41.937
1.076,0.000,0.000,-1,36.600,8.611,09:35:41.968
1.098,0.000,0.000,-1,36.400,8.730,09:35:42.000
1.105,0.000,0.000,-1,36.600,8.633,09:35:42.031
1.118,0.000,0.000,-1,36.400,8.741,09:35:42.062
1.121,0.000,0.000,-1,36.600,8.611,09:35:42.093
