value,time
6.145,09:37:32.000
6.067,09:37:32.031
6.153,09:37:32.062
6.136,09:37:32.093
6.162,09:37:32.125
6.136,09:37:32.156
6.153,09:37:32.187
6.067,09:37:32.218
6.153,09:37:32.250
6.067,09:37:32.281
6.076,09:37:32.312
6.153,09:37:32.343
6.025,09:37:32.375
6.076,09:37:32.406
6.067,09:37:32.437
6.145,09:37:32.468
6.076,09:37:32.500
6.153,09:37:32.531
6.008,09:37:32.562
6.153,09:37:32.593
6.067,09:37:32.625
6.101,09:37:32.656
6.067,09:37:32.687
6.093,09:37:32.718
6.067,09:37:32.750
6.008,09:37:32.781
6.093,09:37:32.812
6.067,09:37:32.843
6.145,09:37:32.875
6.000,09:37:32.906
6.084,09:37:32.937
6.067,09:37:32.968
6.059,09:37:33.000
6.059,09:37:33.031
6.084,09:37:33.062
6.067,09:37:33.093
6.153,09:37:33.125
6.067,09:37:33.156
6.136,09:37:33.187
6.067,09:37:33.218
6.128,09:37:33.250
6.145,09:37:33.281
6.067,09:37:33.312
6.145,09:37:33.343
6.067,09:37:33.375
6.076,09:37:33.406
6.136,09:37:33.437
6.153,09:37:33.468
6.067,09:37:33.500
6.153,09:37:33.531
6.128,09:37:33.562
6.076,09:37:33.593
6.128,09:37:33.625
6.136,09:37:33.656
6.153,09:37:33.687
6.136,09:37:33.718
6.093,09:37:33.750
6.128,09:37:33.781
6.145,09:37:33.812
6.084,09:37:33.843
6.067,09:37:33.875
6.153,09:37:33.906
6.145,09:37:33.937
6.093,09:37:33.968
6.128,09:37:34.000
6.136,09:37:34.031
6.067,09:37:34.062
6.145,09:37:34.093
6.136,09:37:34.125
6.215,09:37:34.156
6.128,09:37:34.187
6.162,09:37:34.218
6.136,09:37:34.250
6.145,09:37:34.281
6.136,09:37:34.312
6.136,09:37:34.343
6.145,09:37:34.375
6.084,09:37:34.406
6.145,09:37:34.437
6.136,09:37:34.468
6.153,09:37:34.500
6.128,09:37:34.531
6.153,09:37:34.562
6.136,09:37:34.593
6.145,09:37:34.625
6.136,09:37:34.656
6.224,09:37:34.687
6.145,09:37:34.718
6.198,09:37:34.750
6.215,09:37:34.781
6.136,09:37:34.812
6.136,09:37:34.843
6.198,09:37:34.875
6.145,09:37:34.906
6.145,09:37:34.937
6.162,09:37:34.968
6.076,09:37:35.000
6.224,09:37:35.031
6.067,09:37:35.062
6.153,09:37:35.093
6.067,09:37:35.125
6.067,09:37:35.156
6.128,09:37:35.187
6.153,09:37:35.218
6.128,09:37:35.250
6.067,09:37:35.281
6.084,09:37:35.312
6.008,09:37:35.343
6.084,09:37:35.375
6.008,09:37:35.406
6.084,09:37:35.437
6.008,09:37:35.468
6.076,09:37:35.500
6.008,09:37:35.531
6.076,09:37:35.562
6.008,09:37:35.593
6.076,09:37:35.625
6.008,09:37:35.656
6.000,09:37:35.687
6.076,09:37:35.718
5.958,09:37:35.750
6.076,09:37:35.781
6.008,09:37:35.812
6.076,09:37:35.843
6.008,09:37:35.875
6.084,09:37:35.906
6.008,09:37:35.937
6.084,09:37:35.968
6.008,09:37:36.000
6.076,09:37:36.031
6.067,09:37:36.062
6.008,09:37:36.093
6.076,09:37:36.125
6.008,09:37:36.156
6.033,09:37:36.187
5.958,09:37:36.218
6.016,09:37:36.250
6.008,09:37:36.281
6.076,09:37:36.312
6.067,09:37:36.343
6.076,09:37:36.375
6.016,09:37:36.406
6.067,09:37:36.437
6.008,09:37:36.468
6.008,09:37:36.500
6.067,09:37:36.531
6.067,09:37:36.562
6.059,09:37:36.593
6.067,09:37:36.625
6.067,09:37:36.656
6.067,09:37:36.687
6.076,09:37:36.718
6.067,09:37:36.750
6.153,09:37:36.781
6.067,09:37:36.812
6.067,09:37:36.843
6.067,09:37:36.875
6.016,09:37:36.906
6.067,09:37:36.937
6.076,09:37:36.968
6.076,09:37:37.000
6.067,09:37:37.031
6.067,09:37:37.062
6.076,09:37:37.093
6.153,09:37:37.125
6.008,09:37:37.156
6.093,09:37:37.187
6.067,09:37:37.218
6.084,09:37:37.250
6.008,09:37:37.281
6.153,09:37:37.312
6.067,09:37:37.343
6.076,09:37:37.375
6.025,09:37:37.406
6.076,09:37:37.437
6.067,09:37:37.468
6.016,09:37:37.500
6.067,09:37:37.531
6.076,09:37:37.562
6.008,09:37:37.593
6.076,09:37:37.625
6.076,09:37:37.656
6.067,09:37:37.687
6.084,09:37:37.718
6.016,09:37:37.750
6.016,09:37:37.781
6.084,09:37:37.812
