value,time
3.1228,09:46:19.750
3.1223,09:46:19.781
3.1226,09:46:19.812
3.1231,09:46:19.843
3.1233,09:46:19.875
3.1233,09:46:19.906
3.1231,09:46:19.937
3.122,09:46:19.968
3.1226,09:46:20.000
3.1226,09:46:20.031
3.1231,09:46:20.062
3.1236,09:46:20.093
3.1246,09:46:20.125
3.1249,09:46:20.156
3.1236,09:46:20.187
3.1228,09:46:20.218
3.1231,09:46:20.250
3.1236,09:46:20.281
3.1233,09:46:20.312
3.1239,09:46:20.343
3.1234,09:46:20.375
3.1242,09:46:20.406
3.1239,09:46:20.437
3.1244,09:46:20.468
3.126,09:46:20.500
3.1257,09:46:20.531
3.125,09:46:20.562
3.1255,09:46:20.593
3.125,09:46:20.625
3.126,09:46:20.656
3.127,09:46:20.687
3.1273,09:46:20.718
3.1278,09:46:20.750
3.1283,09:46:20.781
3.1276,09:46:20.812
3.1279,09:46:20.843
3.1281,09:46:20.875
3.1289,09:46:20.906
3.1284,09:46:20.937
3.1277,09:46:20.968
3.1271,09:46:21.000
3.1279,09:46:21.031
3.1277,09:46:21.062
3.1287,09:46:21.093
3.1277,09:46:21.125
3.1272,09:46:21.156
3.1267,09:46:21.187
3.1254,09:46:21.218
3.1254,09:46:21.250
3.1256,09:46:21.281
3.1251,09:46:21.312
3.1261,09:46:21.343
3.1256,09:46:21.375
3.1251,09:46:21.406
3.1251,09:46:21.437
3.1246,09:46:21.468
3.1238,09:46:21.500
3.1243,09:46:21.531
3.1245,09:46:21.562
3.1237,09:46:21.593
3.1233,09:46:21.625
3.1243,09:46:21.656
3.1247,09:46:21.687
3.1247,09:46:21.718
3.1235,09:46:21.750
3.123,09:46:21.781
3.122,09:46:21.812
3.123,09:46:21.843
3.123,09:46:21.875
3.123,09:46:21.906
3.124,09:46:21.937
3.1242,09:46:21.968
3.125,09:46:22.000
3.1245,09:46:22.031
3.1233,09:46:22.062
3.1228,09:46:22.093
3.1223,09:46:22.125
3.1213,09:46:22.156
3.1218,09:46:22.187
3.1213,09:46:22.218
3.1209,09:46:22.250
3.1209,09:46:22.281
3.1211,09:46:22.312
3.1206,09:46:22.343
3.1198,09:46:22.375
3.1198,09:46:22.406
3.1193,09:46:22.437
3.1193,09:46:22.468
3.1191,09:46:22.500
3.1193,09:46:22.531
3.1185,09:46:22.562
3.119,09:46:22.593
3.1187,09:46:22.625
3.1182,09:46:22.656
3.118,09:46:22.687
3.1172,09:46:22.718
3.1174,09:46:22.750
3.1179,09:46:22.781
3.1189,09:46:22.812
3.1191,09:46:22.843
3.1196,09:46:22.875
3.1186,09:46:22.906
3.1188,09:46:22.937
3.1193,09:46:22.968
3.1185,09:46:23.000
3.118,09:46:23.031
3.119,09:46:23.062
3.12,09:46:23.093
3.1196,09:46:23.125
3.1208,09:46:23.156
3.1213,09:46:23.187
3.1211,09:46:23.218
3.1211,09:46:23.250
3.1213,09:46:23.281
3.1201,09:46:23.312
3.1201,09:46:23.343
3.1191,09:46:23.375
3.1196,09:46:23.406
3.1196,09:46:23.437
3.1199,09:46:23.468
3.1199,09:46:23.500
3.1191,09:46:23.531
3.1199,09:46:23.562
3.1209,09:46:23.593
3.1213,09:46:23.625
3.1213,09:46:23.656
3.1211,09:46:23.687
3.1211,09:46:23.718
3.1221,09:46:23.750
3.1218,09:46:23.781
3.1213,09:46:23.812
3.1215,09:46:23.843
3.1207,09:46:23.875
3.1205,09:46:23.906
3.121,09:46:23.937
3.121,09:46:23.968
3.1207,09:46:24.000
3.122,09:46:24.031
3.122,09:46:24.062
3.1237,09:46:24.093
3.123,09:46:24.125
3.1227,09:46:24.156
3.1227,09:46:24.187
3.1227,09:46:24.218
3.1225,09:46:24.250
3.1217,09:46:24.281
3.1207,09:46:24.312
3.1203,09:46:24.343
3.1203,09:46:24.375
3.1205,09:46:24.406
3.12,09:46:24.437
3.12,09:46:24.468
3.1213,09:46:24.500
3.1206,09:46:24.531
3.1216,09:46:24.562
3.1219,09:46:24.593
3.1221,09:46:24.625
3.1209,09:46:24.656
3.1209,09:46:24.687
3.1211,09:46:24.718
3.1209,09:46:24.750
3.1217,09:46:24.781
3.1209,09:46:24.812
3.1207,09:46:24.843
3.1209,09:46:24.875
3.1209,09:46:24.906
3.1206,09:46:24.937
3.1208,09:46:24.968
3.1211,09:46:25.000
3.1206,09:46:25.031
3.1208,09:46:25.062
3.1203,09:46:25.093
3.1191,09:46:25.125
3.1183,09:46:25.156
3.1178,09:46:25.187
3.1168,09:46:25.218
3.1168,09:46:25.250
3.1157,09:46:25.281
3.1155,09:46:25.312
3.1152,09:46:25.343
3.1162,09:46:25.375
3.1155,09:46:25.406
3.115,09:46:25.437
3.1153,09:46:25.468
3.1147,09:46:25.500
3.1153,09:46:25.531
3.1157,09:46:25.562
3.1155,09:46:25.593
3.116,09:46:25.625
3.1163,09:46:25.656
3.1171,09:46:25.687
3.1176,09:46:25.718
3.1181,09:46:25.750
3.1179,09:46:25.781
3.1183,09:46:25.812
3.1196,09:46:25.843
3.1206,09:46:25.875
3.1203,09:46:25.906
3.1201,09:46:25.937
3.1203,09:46:25.968
3.1203,09:46:26.000
3.1203,09:46:26.031
3.1206,09:46:26.062
3.1206,09:46:26.093
3.1211,09:46:26.125
3.1216,09:46:26.156
3.1216,09:46:26.187
3.1203,09:46:26.218
3.1193,09:46:26.250
3.1193,09:46:26.281
3.1195,09:46:26.312
3.1195,09:46:26.343
3.1205,09:46:26.375
3.1197,09:46:26.406
3.1197,09:46:26.437
3.1197,09:46:26.468
3.12,09:46:26.500
3.1205,09:46:26.531
3.1205,09:46:26.562
3.1203,09:46:26.593
3.121,09:46:26.625
3.1213,09:46:26.656
3.1211,09:46:26.687
3.1219,09:46:26.718
3.1219,09:46:26.750
3.1219,09:46:26.781
3.1227,09:46:26.812
3.1231,09:46:26.843
3.1229,09:46:26.875
3.1224,09:46:26.906
3.1234,09:46:26.937
3.1239,09:46:26.968
3.1234,09:46:27.000
3.1242,09:46:27.031
3.1237,09:46:27.062
3.1227,09:46:27.093
3.1234,09:46:27.125
3.1227,09:46:27.156
3.1234,09:46:27.187
3.1234,09:46:27.218
3.1229,09:46:27.250
3.1229,09:46:27.281
3.1231,09:46:27.312
3.1231,09:46:27.343
3.1229,09:46:27.375
3.1231,09:46:27.406
3.1221,09:46:27.437
3.1221,09:46:27.468
3.1211,09:46:27.500
3.1201,09:46:27.531
3.1201,09:46:27.562
3.1203,09:46:27.593
3.1203,09:46:27.625
3.1211,09:46:27.656
3.1211,09:46:27.687
3.1211,09:46:27.718
3.1203,09:46:27.750
3.1203,09:46:27.781
3.1191,09:46:27.812
3.1191,09:46:27.843
3.1193,09:46:27.875
3.1181,09:46:27.906
3.1181,09:46:27.937
3.1183,09:46:27.968
3.1189,09:46:28.000
3.1189,09:46:28.031
3.1181,09:46:28.062
3.1189,09:46:28.093
3.1189,09:46:28.125
3.1193,09:46:28.156
3.1201,09:46:28.187
3.1209,09:46:28.218
3.1213,09:46:28.250
3.1213,09:46:28.281
3.1211,09:46:28.312
3.1213,09:46:28.343
3.1208,09:46:28.375
3.1205,09:46:28.406
3.1207,09:46:28.437
3.121,09:46:28.468
3.1207,09:46:28.500
3.1217,09:46:28.531
3.1212,09:46:28.562
3.121,09:46:28.593
3.1212,09:46:28.625
3.1212,09:46:28.656
3.1207,09:46:28.687
3.1199,09:46:28.718
3.1199,09:46:28.750
3.1202,09:46:28.781
3.1202,09:46:28.812
3.1202,09:46:28.843
3.1199,09:46:28.875
3.1181,09:46:28.906
3.1177,09:46:28.937
3.1174,09:46:28.968
3.1174,09:46:29.000
3.1167,09:46:29.031
3.1167,09:46:29.062
3.1174,09:46:29.093
3.1174,09:46:29.125
3.1174,09:46:29.156
3.1172,09:46:29.187
3.1174,09:46:29.218
3.1177,09:46:29.250
3.1174,09:46:29.281
3.1177,09:46:29.312
3.1177,09:46:29.343
3.1185,09:46:29.375
3.12,09:46:29.406
3.12,09:46:29.437
3.1207,09:46:29.468
3.1205,09:46:29.500
3.12,09:46:29.531
3.1197,09:46:29.562
3.1197,09:46:29.593
3.121,09:46:29.625
3.1213,09:46:29.656
3.122,09:46:29.687
3.1218,09:46:29.718
3.1223,09:46:29.750
3.1223,09:46:29.781
3.1215,09:46:29.812
3.1205,09:46:29.843
3.1203,09:46:29.875
3.1203,09:46:29.906
3.1193,09:46:29.937
3.1198,09:46:29.968
3.1196,09:46:30.000
3.1193,09:46:30.031
3.1196,09:46:30.062
3.1186,09:46:30.093
3.1173,09:46:30.125
3.1176,09:46:30.156
3.1166,09:46:30.187
3.1164,09:46:30.218
3.1161,09:46:30.250
3.1166,09:46:30.281
3.1166,09:46:30.312
3.1163,09:46:30.343
3.1166,09:46:30.375
3.1158,09:46:30.406
3.1158,09:46:30.437
3.116,09:46:30.468
3.116,09:46:30.500
3.1157,09:46:30.531
3.117,09:46:30.562
3.1172,09:46:30.593
3.118,09:46:30.625
3.119,09:46:30.656
3.118,09:46:30.687
3.1182,09:46:30.718
3.1182,09:46:30.750
3.1182,09:46:30.781
3.1174,09:46:30.812
3.1177,09:46:30.843
3.1177,09:46:30.875
3.1177,09:46:30.906
3.1179,09:46:30.937
3.1182,09:46:30.968
3.1187,09:46:31.000
3.1187,09:46:31.031
3.119,09:46:31.062
3.1197,09:46:31.093
3.1197,09:46:31.125
3.1203,09:46:31.156
3.1203,09:46:31.187
3.1203,09:46:31.218
3.121,09:46:31.250
3.1208,09:46:31.281
3.1208,09:46:31.312
3.1203,09:46:31.343
3.12,09:46:31.375
3.1205,09:46:31.406
3.1203,09:46:31.437
3.121,09:46:31.468
3.121,09:46:31.500
3.1218,09:46:31.531
3.1223,09:46:31.562
3.1221,09:46:31.593
3.1226,09:46:31.625
3.1223,09:46:31.656
3.1233,09:46:31.687
3.1236,09:46:31.718
3.1244,09:46:31.750
3.1241,09:46:31.781
3.1223,09:46:31.812
3.1231,09:46:31.843
3.1229,09:46:31.875
3.1237,09:46:31.906
3.1244,09:46:31.937
3.1239,09:46:31.968
3.1239,09:46:32.000
3.1247,09:46:32.031
3.1244,09:46:32.062
3.1234,09:46:32.093
3.1232,09:46:32.125
3.1234,09:46:32.156
3.1229,09:46:32.187
3.1226,09:46:32.218
3.1231,09:46:32.250
3.1223,09:46:32.281
3.1223,09:46:32.312
3.1223,09:46:32.343
3.1223,09:46:32.375
3.121,09:46:32.406
3.12,09:46:32.437
3.1195,09:46:32.468
3.1195,09:46:32.500
3.1213,09:46:32.531
3.1205,09:46:32.562
3.1202,09:46:32.593
3.1194,09:46:32.625
3.1187,09:46:32.656
3.1174,09:46:32.687
3.1169,09:46:32.718
3.1161,09:46:32.750
3.1164,09:46:32.781
3.1177,09:46:32.812
3.1174,09:46:32.843
3.1174,09:46:32.875
3.1174,09:46:32.906
3.1174,09:46:32.937
3.1172,09:46:32.968
3.1162,09:46:33.000
3.1152,09:46:33.031
3.1152,09:46:33.062
3.1154,09:46:33.093
3.1152,09:46:33.125
3.1152,09:46:33.156
3.1152,09:46:33.187
3.116,09:46:33.218
3.116,09:46:33.250
3.116,09:46:33.281
3.1157,09:46:33.312
3.1157,09:46:33.343
3.1157,09:46:33.375
3.117,09:46:33.406
3.1183,09:46:33.437
3.1183,09:46:33.468
3.1183,09:46:33.500
3.1178,09:46:33.531
3.118,09:46:33.562
3.1183,09:46:33.593
