value,time
5.706,09:42:44.468
5.7057,09:42:44.500
5.706,09:42:44.531
5.7054,09:42:44.562
5.706,09:42:44.593
5.7054,09:42:44.625
5.7076,09:42:44.656
5.7073,09:42:44.687
5.7079,09:42:44.718
5.7087,09:42:44.750
5.7111,09:42:44.781
5.7087,09:42:44.812
5.7087,09:42:44.843
5.7087,09:42:44.875
5.709,09:42:44.906
5.7095,09:42:44.937
5.7076,09:42:44.968
5.7082,09:42:45.000
5.7058,09:42:45.031
5.7095,09:42:45.062
5.7076,09:42:45.093
5.7082,09:42:45.125
5.706,09:42:45.156
5.7066,09:42:45.187
5.7041,09:42:45.218
5.7044,09:42:45.250
5.7044,09:42:45.281
5.7047,09:42:45.312
5.7047,09:42:45.343
5.7047,09:42:45.375
5.7044,09:42:45.406
5.7044,09:42:45.437
5.7026,09:42:45.468
5.7042,09:42:45.500
5.7023,09:42:45.531
5.701,09:42:45.562
5.7007,09:42:45.593
5.7007,09:42:45.625
5.701,09:42:45.656
5.6991,09:42:45.687
5.7012,09:42:45.718
5.7004,09:42:45.750
5.6985,09:42:45.781
5.6985,09:42:45.812
5.698,09:42:45.843
5.6985,09:42:45.875
5.6961,09:42:45.906
5.6985,09:42:45.937
5.6948,09:42:45.968
5.6969,09:42:46.000
5.6945,09:42:46.031
5.6951,09:42:46.062
5.6945,09:42:46.093
5.6969,09:42:46.125
5.6964,09:42:46.156
5.6969,09:42:46.187
5.6967,09:42:46.218
5.6967,09:42:46.250
5.6964,09:42:46.281
5.6964,09:42:46.312
5.6964,09:42:46.343
5.6982,09:42:46.375
5.6966,09:42:46.406
5.6985,09:42:46.437
5.6982,09:42:46.468
5.6988,09:42:46.500
5.6988,09:42:46.531
5.6988,09:42:46.562
5.6988,09:42:46.593
5.6985,09:42:46.625
5.6985,09:42:46.656
5.7001,09:42:46.687
5.7001,09:42:46.718
5.7001,09:42:46.750
5.7001,09:42:46.781
5.7001,09:42:46.812
5.7001,09:42:46.843
5.7001,09:42:46.875
5.6984,09:42:46.906
5.7009,09:42:46.937
5.7003,09:42:46.968
5.7009,09:42:47.000
5.6984,09:42:47.031
